teste, tolerancia
Constância da Dose de Referência,	2\%
Reprodutibilidade da Dose de referência,	1\%
Constância de fatores de campo,	2\%
Constância de parâmetros sobre o eixo central (PDD, TMR, etc.),	2\%
Constância de fatores fora do eixo central,	2\%
Constância dos fatores de transmissão de todos os acessórios,	Não Aplicável
Linearidade de resposta de câmaras Monitoras,	2\%
Dependência da Dose de referência com a taxa de dose,	1\%
Constância da Dose de Referência com a angulação da estativa,	Não Aplicável
Constância dos fatores fora do eixo central com a angulação da estativa,	Não Aplicável
Constância dos fatores de transmissão dos Filtros,	Não Aplicável
Modo Rotacional,	Funcionando
