teste, tolerancia
Indicadores angulares da estativa,	1º
Indicadores angulares do colimador,	1º
Telêmetro,	2 mm no intervalo de uso
Centro do reticulado,	2 mm de diâmetro
Simetria, paralelismo e ortogonalidade do campo luminoso,	2 mm
Indicadores de tamanho de campos,	2 mm
Isocentro mecânico,	2 mm de diâmetro
Coincidência de campos de luz-radiação,	2 mm
Horizontalidade da mesa,	2 mm no intervalo de uso
Posição de filtro,	Não Aplicável
Posição de bandeja,	Não Aplicável
Trava de filtros e bandejas,	Não Aplicável
Centralização dos cones,	Não Aplicável
Verticalidade do eixo luminoso,	2 mm
Escalas da mesa,	2 mm/1º
Intensidade do campo de luz,	Funcionando
